locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAGFDIAF_00086	CDS	909	pgrR_1			HTH-type transcriptional regulator PgrR
KAGFDIAF_00087	CDS	1431	ycaM		COG0531	Inner membrane transporter YcaM
KAGFDIAF_00088	CDS	1149	ycaD			putative MFS-type transporter YcaD
KAGFDIAF_00089	CDS	627	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
KAGFDIAF_00090	CDS	864	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
KAGFDIAF_00091	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
KAGFDIAF_00092	CDS	2445	dmsA	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
KAGFDIAF_00093	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
KAGFDIAF_00094	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
KAGFDIAF_00095	CDS	612	lolA		COG2834	Outer-membrane lipoprotein carrier protein
KAGFDIAF_00096	CDS	1494	ftsK		COG1674	DNA translocase FtsK
KAGFDIAF_00097	CDS	174				hypothetical protein
KAGFDIAF_00098	CDS	1986	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
KAGFDIAF_00099	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
KAGFDIAF_00100	CDS	1128				hypothetical protein
KAGFDIAF_00101	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
KAGFDIAF_00102	CDS	228			COG2852	putative protein
KAGFDIAF_00103	CDS	807	sapF		COG4167	Putrescine export system ATP-binding protein SapF
KAGFDIAF_00104	CDS	993	sapD		COG4170	Putrescine export system ATP-binding protein SapD
KAGFDIAF_00105	CDS	891	sapC		COG4171	Putrescine export system permease protein SapC
KAGFDIAF_00106	CDS	966	sapB_1		COG4168	Putrescine export system permease protein SapB
KAGFDIAF_00107	CDS	1644	sapA		COG4166	Peptide transport periplasmic protein SapA
KAGFDIAF_00108	CDS	246				hypothetical protein
KAGFDIAF_00109	CDS	1386	puuP		COG0531	Putrescine importer PuuP
KAGFDIAF_00110	CDS	1419	puuA	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
KAGFDIAF_00111	CDS	753	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
KAGFDIAF_00112	CDS	558	puuR			HTH-type transcriptional regulator PuuR
KAGFDIAF_00113	CDS	1488	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
KAGFDIAF_00114	CDS	1281	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
KAGFDIAF_00115	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
KAGFDIAF_00116	CDS	978	pspF		COG1221	Psp operon transcriptional activator
KAGFDIAF_00117	CDS	669	pspA		COG1842	Phage shock protein A
KAGFDIAF_00118	CDS	225	pspB			Phage shock protein B
KAGFDIAF_00119	CDS	360	pspC		COG1983	Phage shock protein C
KAGFDIAF_00120	CDS	222	pspD			Phage shock protein D
KAGFDIAF_00121	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
KAGFDIAF_00122	CDS	1680	ycjM	2.4.1.352	COG0366	Glucosylglycerate phosphorylase
KAGFDIAF_00123	CDS	1293				hypothetical protein
KAGFDIAF_00124	CDS	882	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
KAGFDIAF_00125	CDS	843	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
KAGFDIAF_00126	CDS	1053	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
KAGFDIAF_00127	CDS	789	iolE	4.2.1.44		Inosose dehydratase
KAGFDIAF_00128	CDS	1056	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
KAGFDIAF_00129	CDS	2268	ycjT	2.4.1.230	COG1554	Kojibiose phosphorylase
KAGFDIAF_00130	CDS	660	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
KAGFDIAF_00131	CDS	1083	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
KAGFDIAF_00132	CDS	906	ompG			Outer membrane porin G
KAGFDIAF_00133	CDS	999	purR_1		COG1609	HTH-type transcriptional repressor PurR
KAGFDIAF_00134	CDS	1398	ycjX		COG3106	putative protein YcjX
KAGFDIAF_00135	CDS	1062				hypothetical protein
KAGFDIAF_00136	CDS	1542	tyrR		COG3283	Transcriptional regulatory protein TyrR
KAGFDIAF_00137	CDS	507	tpx	1.11.1.15	COG2077	Thiol peroxidase
KAGFDIAF_00138	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
KAGFDIAF_00139	CDS	729	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
KAGFDIAF_00140	CDS	183				hypothetical protein
KAGFDIAF_00141	CDS	921	ycjY		COG1073	putative protein YcjY
KAGFDIAF_00142	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
KAGFDIAF_00143	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein
KAGFDIAF_00144	CDS	681	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
KAGFDIAF_00145	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
KAGFDIAF_00146	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
KAGFDIAF_00147	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
KAGFDIAF_00148	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
KAGFDIAF_00149	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
KAGFDIAF_00150	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
KAGFDIAF_00151	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
KAGFDIAF_00152	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
KAGFDIAF_00153	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
KAGFDIAF_00154	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
KAGFDIAF_00155	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
KAGFDIAF_00156	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
KAGFDIAF_00157	CDS	1428				hypothetical protein
KAGFDIAF_00158	CDS	768	xynR		COG1414	HTH-type transcriptional regulator XynR
KAGFDIAF_00159	CDS	1005	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
KAGFDIAF_00160	CDS	630	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
KAGFDIAF_00161	CDS	975				hypothetical protein
KAGFDIAF_00162	CDS	507				hypothetical protein
KAGFDIAF_00163	CDS	1491				hypothetical protein
KAGFDIAF_00164	CDS	765	udp	2.4.2.3	COG2820	Uridine phosphorylase
KAGFDIAF_00165	CDS	810	clcD	3.1.1.45		Carboxymethylenebutenolidase
KAGFDIAF_00166	CDS	96				hypothetical protein
KAGFDIAF_00167	CDS	669	rutB_1	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
KAGFDIAF_00168	CDS	861				hypothetical protein
KAGFDIAF_00169	CDS	1560	fdrA_1		COG0074	Protein FdrA
KAGFDIAF_00170	CDS	1476				hypothetical protein
KAGFDIAF_00171	CDS	957	arcC1_1	2.7.2.2		Carbamate kinase 1
KAGFDIAF_00172	CDS	390	atzF	3.5.1.54		Allophanate hydrolase
KAGFDIAF_00173	CDS	1224	codB_1		COG1457	Cytosine permease
KAGFDIAF_00174	CDS	897	yahB_1			putative HTH-type transcriptional regulator YahB
KAGFDIAF_00175	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
KAGFDIAF_00176	CDS	954	metR			HTH-type transcriptional regulator MetR
KAGFDIAF_00177	CDS	900	bioP		COG0697	Biotin transporter
KAGFDIAF_00178	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
KAGFDIAF_00179	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
KAGFDIAF_00180	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
KAGFDIAF_00181	CDS	621	rhtC_1		COG1280	Threonine efflux protein
KAGFDIAF_00182	CDS	1836	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
KAGFDIAF_00183	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
KAGFDIAF_00184	CDS	468				hypothetical protein
KAGFDIAF_00185	CDS	891	rarD		COG2962	Protein RarD
KAGFDIAF_00186	CDS	381				hypothetical protein
KAGFDIAF_00187	CDS	771	fixA_1		COG2086	Protein FixA
KAGFDIAF_00188	CDS	942	fixB_1		COG2025	Protein FixB
KAGFDIAF_00189	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
KAGFDIAF_00190	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
KAGFDIAF_00191	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
KAGFDIAF_00192	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
KAGFDIAF_00193	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
KAGFDIAF_00194	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
KAGFDIAF_00195	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
KAGFDIAF_00196	CDS	378	apaG		COG2967	Protein ApaG
KAGFDIAF_00197	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
KAGFDIAF_00198	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
KAGFDIAF_00199	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
KAGFDIAF_00200	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
KAGFDIAF_00201	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
KAGFDIAF_00202	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
KAGFDIAF_00203	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
KAGFDIAF_00204	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
KAGFDIAF_00205	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
KAGFDIAF_00206	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
KAGFDIAF_00207	CDS	1701	araB_1	2.7.1.16	COG1069	Ribulokinase
KAGFDIAF_00208	CDS	879	araC			Arabinose operon regulatory protein
KAGFDIAF_00209	CDS	765	yabI		COG0586	Inner membrane protein YabI
KAGFDIAF_00210	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
KAGFDIAF_00211	CDS	1611				hypothetical protein
KAGFDIAF_00212	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
KAGFDIAF_00213	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
KAGFDIAF_00214	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
KAGFDIAF_00215	CDS	1179	setA			Sugar efflux transporter A
KAGFDIAF_00216	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
KAGFDIAF_00217	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
KAGFDIAF_00218	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
KAGFDIAF_00219	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
KAGFDIAF_00220	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
KAGFDIAF_00221	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
KAGFDIAF_00222	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
KAGFDIAF_00223	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
KAGFDIAF_00224	CDS	933	arcC1_2	2.7.2.2		Carbamate kinase 1
KAGFDIAF_00225	CDS	1626				hypothetical protein
KAGFDIAF_00226	CDS	771				hypothetical protein
KAGFDIAF_00227	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
KAGFDIAF_00228	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
KAGFDIAF_00229	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
KAGFDIAF_00230	CDS	780				hypothetical protein
KAGFDIAF_00231	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
KAGFDIAF_00232	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
KAGFDIAF_00233	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
KAGFDIAF_00234	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
KAGFDIAF_00235	CDS	489	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
KAGFDIAF_00236	CDS	1920		1.18.1.2		Ferredoxin--NADP reductase
KAGFDIAF_00237	CDS	1449	uacT		COG2233	Uric acid transporter UacT
KAGFDIAF_00238	CDS	126	yqfG			putative protein YqfG
KAGFDIAF_00239	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
KAGFDIAF_00240	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
KAGFDIAF_00241	CDS	882	prfB_1		COG1186	Peptide chain release factor RF2
KAGFDIAF_00242	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
KAGFDIAF_00243	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
KAGFDIAF_00244	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
KAGFDIAF_00245	CDS	522	fldB		COG0716	Flavodoxin 2
KAGFDIAF_00246	CDS	408	ygfX			Inner membrane protein YgfX
KAGFDIAF_00247	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
KAGFDIAF_00248	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
KAGFDIAF_00249	CDS	660				hypothetical protein
KAGFDIAF_00250	CDS	312				hypothetical protein
KAGFDIAF_00251	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
KAGFDIAF_00252	CDS	744	ygfF	1.-.-.-		putative oxidoreductase YgfF
KAGFDIAF_00253	CDS	876	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
KAGFDIAF_00254	CDS	1173	obgE	3.6.5.-	COG0536	GTPase ObgE/CgtA
KAGFDIAF_00255	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
KAGFDIAF_00256	CDS	258	rpmA		COG0211	50S ribosomal protein L27
KAGFDIAF_00257	CDS	312	rplU		COG0261	50S ribosomal protein L21
KAGFDIAF_00258	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
KAGFDIAF_00259	CDS	279				hypothetical protein
KAGFDIAF_00260	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
KAGFDIAF_00261	CDS	270	ibaG		COG5007	Acid stress protein IbaG
KAGFDIAF_00262	CDS	294	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
KAGFDIAF_00263	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
KAGFDIAF_00264	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
KAGFDIAF_00265	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
KAGFDIAF_00266	CDS	810	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
KAGFDIAF_00267	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
KAGFDIAF_00268	CDS	987	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
KAGFDIAF_00269	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
KAGFDIAF_00270	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
KAGFDIAF_00271	CDS	558	lptA		COG1934	Lipopolysaccharide export system protein LptA
KAGFDIAF_00272	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
KAGFDIAF_00273	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
KAGFDIAF_00274	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
KAGFDIAF_00275	CDS	492	ptsN		COG1762	Nitrogen regulatory protein
KAGFDIAF_00276	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
KAGFDIAF_00277	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
KAGFDIAF_00278	CDS	633	yrbL			putative protein YrbL
KAGFDIAF_00279	CDS	729	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
KAGFDIAF_00280	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
KAGFDIAF_00281	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
KAGFDIAF_00282	CDS	930				hypothetical protein
KAGFDIAF_00283	CDS	4554	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
KAGFDIAF_00284	CDS	1419	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
KAGFDIAF_00285	CDS	480	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
KAGFDIAF_00286	CDS	306				hypothetical protein
KAGFDIAF_00287	CDS	465	yhcH_1		COG2731	putative protein YhcH
KAGFDIAF_00288	CDS	876	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
KAGFDIAF_00289	CDS	690	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
KAGFDIAF_00290	CDS	1491	nanT			Sialic acid transporter NanT
KAGFDIAF_00291	CDS	894	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
KAGFDIAF_00292	CDS	792	nanR_1		COG2186	HTH-type transcriptional repressor NanR
KAGFDIAF_00293	CDS	621				hypothetical protein
KAGFDIAF_00294	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
KAGFDIAF_00295	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
KAGFDIAF_00296	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
KAGFDIAF_00297	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
KAGFDIAF_00298	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
KAGFDIAF_00299	CDS	2274	pbpC		COG4953	Penicillin-binding protein 1C
KAGFDIAF_00300	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
KAGFDIAF_00301	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
KAGFDIAF_00302	CDS	777				hypothetical protein
KAGFDIAF_00303	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
KAGFDIAF_00304	CDS	201	iscX		COG2975	Protein IscX
KAGFDIAF_00305	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
KAGFDIAF_00306	CDS	1851	hscA		COG0443	Chaperone protein HscA
KAGFDIAF_00307	CDS	516	hscB		COG1076	Co-chaperone protein HscB
KAGFDIAF_00308	CDS	324	iscA		COG0316	Iron-binding protein IscA
KAGFDIAF_00309	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
